Barcode,Call Number,Title,Author,Year,Edition,ISBN,Publication,Publisher,Collection Code,Physical Description,Note Area,Price
HS01315,FIC 823.912 B6617 2007,The sea of adventure,"Blyton, Enid",5265,,9781447205265,London,Macmillan Children's Books,FIC,254p. ; 20 cm.,,
HS01316,FIC 823.9 B8584 1973,Caddie woodlawn,"Brink, Carol Ryrie",4646,,590444646,New York,Macmillan Publishing Company,FIC,"viii, 275p. : ill. ; 20 cm.",,
HS01317,FIC 823.81 B8697 2001,Jane eyre,"Bronte, Charlotte",1783,,1582791783,,Trident Press International,FIC,446p. ; 17 cm.,,
HS01318,FIC 813 B9885 1956,The enormous egg,"Butterworth, Oliver",1956,,5904475460,New York,"Scholastic, inc.",FIC,187p. : ill. ; 22 cm.,,
HS01319,FIC 813.6 C7121m 2010,Mockingjay,"Collins, Suzane",8741,,9789810868741,New York,"Scholastic, inc.",FIC,390P. ; 21 cm.,,
HS01320,FIC 813.54 C7757 1990,The face on the milk carton,"Cooney, Caroline B.",2382,,9780385742382,United States,Ember,FIC,184p. ; 21 cm.,,
HS01321,FIC 823.914 C695a 2001,burat,"Colfer, Eoin",445X,,043934445X,New York,Scholastic Inc.,FIC,277p. ; 20 cm.,,
HS01322,FIC 823.914 C695ar 2017,Artemis fowl,"Colfer, Eoin",5604,,9780241335604,,Puffin Books,FIC,277p. ; 20 cm.,,
HS01323,FIC 823.92 C695t 2017,Artemis fowl and the arctic incident,"Colfer, Eoin",5598,,9780241335598,,Puffin Books,FIC,279p. ; 20 cm.,,
HS01324,FIC P94 2012,Zoe letting go,"Price, Nora",6267,,9781595146267,New York,Penguin Group,FIC,279p.; 21cm,,
HS01325,FIC C947c 2017,Cyclone,"Cronin, Doreen",5277,,9781481435277,New York,Atheneum Books,FIC,336p.: ill.; 22cm,,
HS01326,FIC I34 1994,God's other son,"Imus, Don",1663,,684801663,New York,Simon & Schuster,FIC,316p.; 24cm,,
HS01327,FIC C332 1962,Mister Johnson,"Cary, Joyce",,,,Virginia,Time-life Books Inc.,FIC,300p.; 21cm,,
HS01328,FIC C69 1974,My brother Sam is dead,"Collier, James Lincoln & Christopher",792X,,059042792X,New York,"Scholastic, Inc.",FIC,216p.; 18cm,,
HS01329,FIC C672v 2018,The valkyries,"Coelho, Paulo",5406,,9788172235406,London,HarperCollins Publisher,FIC,245p.;20cm,,
HS01330,FIC C7541 1994,Heart of darkness,"Conrad, Joseph",3437,,9780140623437,London,Penguin Books,FIC,110p.; 18cm,,
HS01331,FIC C7541 1994 c.1,Heart of darkness,"Conrad, Joseph",1994,,9780140623437,London,Penguin Books,FIC,110p.; 18cm,,
HS01332,FIC C67 1998,The alchemist,"Coelho, Paulo",5300,,9780062355300,New York,Harper,FIC,182p.; 18cm,,
HS01333,FIC C67 2018,The alchemist,"Coelho, Paulo",4980,,9788172234980,New York,HarperCollins Publisher,FIC,161p.; 18cm,,
HS01334,FIC M208 1962,King Arthur and the legends of the round table,"Baines, Keith",8162,,9780451528162,New York,Signet Classic,FIC,512p.; 18cm,,
HS01335,FIC C672w 2018,The witch of portobello,"Coelho, Paulo",7447,,9780007257447,New York,HarperCollins Publisher,FIC,329p.; 20cm,,
HS01336,FIC C672z 2018,The zahir,"Coelho, Paulo",6298,,9788172236298,New York,HarperCollins Publisher,FIC,342p.; 20cm,,
HS01337,FIC C672p 2018,The pilgrimage,"Coelho, Paulo",5390,,9788172235390,New York,HarperCollins Publisher,FIC,226p.; 20cm,,
HS01338,FIC C672e 2018,Eleven minutes,"Coelho, Paulo",5635,,9788172235635,New York,HarperCollins Publisher,FIC,275p.; 20cm,,
